instance_id,supporting_slices,supporting_slice_count,representative_slice,centroid_patient_xyz,centroid_spread_mm,area_mean_px,area_std_px,position_along_spine_mm,ordinal_cranial_to_caudal,level,level_status,instance_confidence
disc_inst_00,"[3, 4, 5, 6]",4,5,"[-2.259055810919259, 42.6881095392793, 176.78101473441808]",8.529525262648693,70.25,6.751543033509698,0.0,1,,abstain,0.8695
disc_inst_01,"[3, 4, 5, 6]",4,5,"[-2.1153143112739308, 37.149452398238026, 145.15102700071978]",8.43025057245088,108.75,10.04572877727976,32.10937444413223,2,,abstain,0.871
disc_inst_02,"[3, 4, 5, 6, 8]",5,4,"[-5.737115985364591, 32.91765992849467, 111.69532482348286]",15.434231848294793,102.0,30.72458299147443,65.79118334807787,3,,abstain,0.7667
disc_inst_03,"[3, 4, 5, 6, 8]",5,4,"[-5.564682512292885, 27.29867155155144, 77.60584645425534]",15.42115663169602,140.6,34.10718399399165,100.34102825590317,4,,abstain,0.7669
disc_inst_04,"[3, 4, 5, 6, 8]",5,4,"[-5.512439425166436, 18.91452385163152, 42.15915925159309]",15.436761428525486,169.0,27.504545078950134,136.6747927281135,5,,abstain,0.7666
disc_inst_05,"[3, 4, 5, 6, 8]",5,5,"[-5.253839782797391, 14.246216147374302, 5.1642445826718415]",15.404190932991398,173.6,40.82033806817381,173.9395927141847,6,,abstain,0.7664
disc_inst_06,"[3, 4, 5, 6, 8]",5,5,"[-4.491563245922584, 19.753092330370826, -31.453619026724585]",15.429969544360523,160.4,60.677837799315164,209.19720002303848,7,,abstain,0.766
